store_id,carrier_id,commodity,volume,outage_time,delivery_time,reported_via,notes,closing_notes,cause,user_id
,,UNL,778,07:00.0,08:00.0,csr,"no unformulated gas at terminal phy out , there was a supply template sent out at 1:10pm AZ time but i yet to see reply from anyone, i called E Lindstrom and left vc mssg for advise as well as reply'd to supply template.",Allocation out at terminal. Supply template not responded to in a timely fashion. Site out 4 hours.,6: Supply Disruption,
,,DSL,468,46:00.0,40:00.0,CSR,"csr clld in out of reg 468 gallons, clld PTC and talked w/Danny the eta is approx 2.5 hrs.",AT,6: Supply Disruption,
,,UNL,559,00:00.0,26:00.0,phone,NULL,site was down for construction and forecasting off - we were not told when reopened,10: Technology,
,,UNL,490,58:59.0,50:00.0,Site Called out,"Supply issues in Fresno, carrier didn't know if there was allocation all day.",supply issues,6: Supply Disruption,
,,UNL,768,08:00.0,08:00.0,RDO,Coding as carrier error until we receive the requested reason for the outage from the carrier for review....TLD,Coding as carrier error until we receive the requested reason for the outage from the carrier for review....TLD,2: Carrier Issues,
,,UNL,905,08:00.0,35:00.0,RDO,coding as carrier error pending the requested response from carrier with reason for outage...TLD,coding as carrier error pending the requested response from carrier with reason for outage...TLD,2: Carrier Issues,
,,UNL,328,50:00.0,08:00.0,RDO,coding as carrier error pending the requested response from carrier with reason for outage...TLD,coding as carrier error pending the requested response from carrier with reason for outage...TLD,2: Carrier Issues,
,,UNL,833,36:00.0,36:00.0,RDO,coding as carrier error pending the requested response from carrier with reason for outage...TLD,coding as carrier error pending the requested response from carrier with reason for outage...TLD,2: Carrier Issues,
,,DSL,759,00:00.0,23:19.0,site,no diesel was scheduled on the  delivery so they will asap- eta pending,TMW did not have dsl forecasted on the previous ord,10: Technology,
,,UNL,297,04:00.0,04:00.0,site,1533 in one tank 298 in the other.  Priced at $1.96 carrier was in twice today,1533 in one tank 298 in the other.  Priced at $1.96 carrier was in twice today,3: Unpredictable Sales,
,,UNL,350,59:00.0,49:00.0,ste,out oat 360 regular - ETA 11:30pm,NULL,2: Carrier Issues,
,,UNL,947,18:25.0,56:00.0,csr,csr clld out of reg/947 gallons unknown reason for out at this time per Barb at Klemm  eta approx 4am,"per atg , site shut down early",15: Unnecessary Shut Down,
,,UNL,175,29:09.0,21:00.0,csr,"csr out of reg/175 gallons called Eagle and talked w/Trey eta approx 7am, possible sales increase",NULL,2: Carrier Issues,
,,UNL,411,14:46.0,29:00.0,csr,"possible tanks not manifolding, site called in out of reg 3000/400 gallons, submit workorder as p1 called Star and talked w/Joe eta approx 1.5 hrs.",Site not manifolding properly.  3216 in other unl tank,8: Maintenance,
,,UNL,403,00:00.0,00:00.0,phone,"site also ran out of ulp before load got there,  this is a carrier error",Load should have been delivered previous night early site also ran out of midgrade due to have no unleaded to sale,2: Carrier Issues,
,,UNL,489,30:00.0,00:00.0,phone,old order not closed out - causes bad forecasting,NULL,2: Carrier Issues,
,,DSL,582,25:01.0,25:01.0,Supply Team,Ashley called me and stated the site was out. DSL tank #1 had 3700 gallons. I thought it was a maintenance issue but after further review the tanks are not manifolded and this caused an outage. Kenan said it was due to a sales increase.,Carrier error,2: Carrier Issues,
,,UNL,834,54:12.0,16:00.0,audit,carrier error,carrier running behind - site sold PNL as UNL while they were down on UNL - carrier gave us the wrong ETA early in the morning - we received an updated ETA and carrier delivered in that time,2: Carrier Issues,
,,UNL,757,43:00.0,54:00.0,Jim,ETA Less Than An Hour.,"Wrong Site Number, this was a 270 instead of a 272. This error was noticed on 7/14/2017.",6: Supply Disruption,
,,UNL,800,30:00.0,23:00.0,Email,ATG down site not reporting,Site not reporting readings while atg down.,1: Bad Sticks,
,,UNL,600,38:35.0,30:00.0,phone,site is out. atg is acting up,carrier running behind - eta was 10pm,2: Carrier Issues,
,,UNL,499,58:00.0,59:00.0,csr,Carrier error pending carrier response,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,323,41:56.0,56:00.0,csr,"csr clld in out of reg 323/9913 gallons, this site was currently under construction last night driver was unable to fill reg tank 1 ,site appears to have a syphoning issue clld CK help desk and talked w/Mason to submit work order as p1, clld Coastal and talked w/Paul who will have a driver at site approx 12am, work order r6041420",site down with unreported construction - carrier tried to delivery early on 6/29,8: Maintenance,
,,UNL,362,30:24.0,40:00.0,csr,"csr clld in out of reg no readings, no npt dispatcher in office emailed for an eta  TMW load 790623 has been dispatched",Carrier error pending carrier response,2: Carrier Issues,
,,UNL,403,52:09.0,30:00.0,csr,"2hr eta, site called in out of reg/ 403 gallons, clld KAG and talked w/Carmen eta approx 4hrs.",holiday weekend and we notified carrier to let them know to watch for sale increase,2: Carrier Issues,
,,PNL,431,48:00.0,43:00.0,csr,"csr out of pnl/431 gallons, clld Pope and talked w/Chris eta approx 2hrs",NULL,2: Carrier Issues,
,,UNL,590,53:42.0,37:00.0,phne,no reason stated,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,263,04:00.0,04:00.0,Phone Call,"While the driver was about to unload gasoline, the customer ran over the vapor recovery tube",The carrier Is NOT held liable for this situation.,16: Major Supply Disruption,
,,UNL,798,04:00.0,04:00.0,email,Carrier error pending carrier response eta per carrier 20:30,Carrier error pending carrier response eta per carrier 20:30,2: Carrier Issues,
,,UNL,379,18:58.0,00:00.0,Email,Bad readings reported,"Site not answering phone, bad readings in system.",1: Bad Sticks,
,,UNL,380,30:00.0,45:00.0,site,carrier error active ATG and this is a NTI,this is a new site with very high sales and working ATG carrier should be keeping a close eye on this site,2: Carrier Issues,
,,UNL,790,00:00.0,15:00.0,site,site out due to carrier.  This is a very high volume sites and carrier is told to keep close eye,carrier error due to this being a high volume site,2: Carrier Issues,
,,UNL,749,54:07.0,34:00.0,fuel pricing,out due to carrier running behind and site has a working ATG,Out due to carrier not able to keep up with the holiday sales**every ones sales up cause carrier to fall behind,2: Carrier Issues,
,,UNL,985,30:10.0,30:10.0,email,The Carrier was at a shortage of drivers.,A.T.,2: Carrier Issues,
,,PNL,418,30:00.0,57:46.0,site,carrier was notified last night that site was low and are not going to be able to get site a load til 4pm today,carrier gotten plenty of advance notice that pnl was low.,1: bad Sticks,
,,UNL,285,19:20.0,19:20.0,csr,Mapco would not reply to email/carrier requests.,A.T.,2: Carrier Issues,
,,UNL,435,02:20.0,30:00.0,csr,site called in out of reg/435 gallons emailed NPT for eta  two load in TMW show DSP 793556/789984,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,442,12:00.0,12:00.0,csr,"csr clld in out of reg/442 gallons, clld Eagle and talked w/Larry eta, 6am but he is trying to move up if possible site is selling at 1.97 same as competitor.",VALID TIME,2: Carrier Issues,
,,UNL,719,29:00.0,29:00.0,csr,"csr clld in out of reg 770 gallons, tmw load 791630 shows dsp, emailed NPT for an eta",No response for reason for outage from carrier,2: Carrier Issues,
,,UNL,653,12:18.0,45:00.0,csr,"csr clld in our to reg/653 gallons, clld TTE and talked w/Sherida first driver had medical emergency and had to give load back, she is tryng to contact the other driver and w/call me back. Sherida clld back eta approx 1130 to midnight",NULL,2: Carrier Issues,
,,UNL,686,55:00.0,45:00.0,csr,"csr clld in out of reg 686 gallons, called UPT and talked w/Felix eta approx 2 hrs  driver en route not.",carriers were told to keep eye on sites due to holiday sales causing increase of sales.  **also this site has a working ATG,2: Carrier Issues,
,,UNL,5,41:33.0,00:00.0,PHONE,"unl/5""  unl/13""   PER TMW LOAD IS DISPATCHED",Carrier error pending carrier response,2: Carrier Issues,
,,UNL,646,51:50.0,51:50.0,csr,"csr clld in out of reg 646/661 gallons, clld Kenan and talked w/Katrina eta approx 1.5 hrs",A.T.,11: Site Inaccessible,
,,PNL,896,12:56.0,44:00.0,6/30/2017 20:12,called kag with no response.. also emailed. waiting on a response,long line at terminal due to our batch being moved back,6: Supply Disruption,
,,UNL,581,05:00.0,57:00.0,CALL,"site said they called in outage last night but I don't see any records of this being called, I called eagle this morning and they said it was scheduled out this am on the 1st driver,, rc",AT,4: Dealer Order Error,
,,UNL,597,15:00.0,00:00.0,csr,"csr clld in out of reg/597 gallons, waiting for reply on eta  site has ATG 20,000g reg tank",NULL,2: Carrier Issues,
,,UNL,750,52:38.0,52:00.0,csr,"csr clld in out of reg/750 gallons, no dispatcher answer, emailed for and eta  TMW 749733 has code DSP, waiting for reply",No reason for outage provided by carrier,2: Carrier Issues,
,,UNL,750,18:37.0,23:37.0,7/1/2017 7:00,The terminal manager and dispatchers were relatively new and they failed to execute the operations properly and on time. They overlooked it and did not deliver.,a.t.,2: Carrier Issues,
,,PNL,415,14:00.0,17:00.0,7/1/2017 7:00,400/PREM,A.T.,4: Dealer Order Error,
,,UNL,494,46:32.0,59:32.0,07/01/17 0845 am,494/unl.. eta given per kenan 15 minutes,AT,5: Dispatcher Decision,
,,UNL,823,57:30.0,15:30.0,Ekrout,This site sold more than usually UNL is down to $1.82 now and other sites in the area are at $1.96 sales has been updated.,A.T.,3: Unpredictable Sales,
,,UNL,500,00:00.0,09:23.0,site,no ETAs available from NPT,Site readings not reported.,1: Bad Sticks,
,,UNL,203,28:00.0,54:00.0,Site Called In,This site had a huge number of sales during this time period which caused them to have an outage. They sell with a 5400 gallon tank.,at.,3: Unpredictable Sales,
,,UNL,515,45:00.0,16:36.0,Site Called In,"A few drivers called out, which caused shortage drivers.   Point of Contact - Marcus Gilbert",A.T.,2: Carrier Issues,
,,UNL,967,20:51.0,30:00.0,site,load in route highway shut down - no ETA yet,Bad accidents on the highway caused major delays. A.T,11: Site Inaccessible,
,,UNL,574,05:53.0,45:53.0,PHONE,UNL/577... CALLED FL ROCK LEFT VM AND ALSO SENT EMAIL..RC,A.T.,2: Carrier Issues,
,,UNL,420,20:59.0,20:00.0,PHONE,UNL/420. ETA.. 1 HOUR,holiday weekend and multiple day supply email going to carrier daily also this site has a working ATG,2: Carrier Issues,
,,UNL,502,17:15.0,12:00.0,phone,503/unl,Carrier was given eta request and vol 12 hours before runout.  No known supply issues.,2: Carrier Issues,
,,UNL,640,00:00.0,00:00.0,Email,Carrier running behind.,AE,2: Carrier Issues,
,,UNL,448,10:00.0,04:00.0,Phone,The store sold an extremely high amount of fuel for 4th of july weekend.,AT,3: Unpredictable Sales,
,,UNL,545,55:00.0,58:00.0,email,Allocation/Terminal Outage,POPE IS CARRIER. Claimed that they had 2700 in tank when the drop was made. No indication of being splashed prior to delivery.,6: Supply Disruption,
,,UNL,287,31:56.0,54:00.0,Site Called in,UPT dropped the ball.,A.T.,2: Carrier Issues,
,,UNL,800,00:00.0,30:00.0,Supply Team.,Eagle running behind.,Waiting for Eagles response.,2: Carrier Issues,
,,UNL,656,36:00.0,05:00.0,Supply team,Waiting for Eagles response.,Eagle has updated their tank bottoms.,2: Carrier Issues,
,,DSL,1,43:49.0,43:49.0,Site called,"Secondary carrier running behind, waiting for ETA response",Carrier was given order on July 1st for delivery 7/3 am.  Site does not have ATG so unable to get volume since none was called in.,2: Carrier Issues,
,,UNL,640,00:00.0,05:00.0,Supply Team,"There was a jump in sales, the person on the phone said that they "" missed it "" in inventory. This is most likely a carrier error.",AT.,2: Carrier Issues,
,,UNL,1700,00:00.0,00:00.0,Supply Team.,Tanks tilted and shuts off at 1700 gallons. Eagle has updated the tank bottoms.,AE,8: Maintenance,
,,UNL,876,00:00.0,00:00.0,Supply Team.,Waiting for Eagles response.,NULL,2: Carrier Issues,
,,UNL,481,30:00.0,30:00.0,Supply Team.,Waiting for Eagles response.,NULL,2: Carrier Issues,
,,UNL,502,00:00.0,00:00.0,Supply Team,Waiting for Carrier response. Looks like carrier was behind.,AT,2: Carrier Issues,
,,UNL,327,48:00.0,51:00.0,phone,Amber stated that the driver was running late because there was a holiday season and the times were messed up because of it. Carrier issue.,A.T.,2: Carrier Issues,
,,UNL,600,25:26.0,25:26.0,Email Notification,ETA 11 AM,None,3: Unpredictable Sales,
,,UNL,959,17:15.0,31:15.0,Email,High Volume Sales [Unpredictable Sales],A.T.,3: Unpredictable Sales,
,,UNL,340,51:31.0,48:00.0,phone,NULL,"340 in tank 1,  345 in tank 2, site on half day report in the morning and nothing back from Carrier",2: Carrier Issues,
,,UNL,353,14:00.0,18:00.0,Phone-Call,Morning dispatcher had no idea why the night dispatcher did not run this load. He came in this morning and saw that the site was out and dispatched a compartment to get them up and running again until he could get a full load sent out. ETA is any minute.,AT,5: Dispatcher Decision,
,,UNL,354,15:00.0,18:00.0,Emails,Eagle is reporting an increase in sales.,Carrier should be expecting Sales increases throughout the holiday.,2: Carrier Issues,
,,UNL,147,07:00.0,38:00.0,Days of Supply,Pope could not give a reason for the outage at the time of the call.,AT,2: Carrier Issues,
,,UNL,687,49:00.0,00:00.0,Market mgr,"out due to carrier error,",Carrier error due to this site sits on the Vegas strip and sales triple on weekends and holidays.  Carrier have had this site for years and should know this,2: Carrier Issues,
,,UNL,3368,15:00.0,03:15.0,site,"The load was reported as in route, the person from Hall of Fame Transport told me that the Titan Polling was down for about 10-13 days.",AT,10: Technology,
,,PNL,376,30:00.0,05:02.0,site,376 premium  ETA 7pm,"Site is ATG, carrier receives email of inventories throughout the day",2: Carrier Issues,
,,UNL,785,15:00.0,07:45.0,site,no answer at KAG in California sent email  non ATG store,holiday weekend stick were not in.,1: Bad Sticks,
,,UNL,800,45:00.0,00:00.0,site,ETA given was 5am......carrier will move up if they can,Site not polling.,10: Technology,
,,PNL,343,14:31.0,14:00.0,site,343 gallons...they received a delivery of regular earlier in the day....that is all that was forecasted??  carrier said they would find a site to drop a compartment to them as soon as possible,"carrier receives email of inventories several times through day, site is Atg",2: Carrier Issues,
,,UNL,576,38:00.0,37:00.0,site,576/87 carrier said they were there earlier in the day and site couldn't hold 1600 gallons of regular .... the CSR said there are 2 site in Prattville  so driver probably went to another site in error...they will get something to them in the morning.,A.T.,2: Carrier Issues,
,,UNL,388,39:55.0,38:00.0,CSR,"site clld in out of reg 388 gallons, clld PTC and talked w/Randy who states there is an allocation issue N Augusta Magellan Shell BR, i called Motiva and talked w/Frank who was unable to verify an allocation issue at this time, Randy is calling Motiva now to make sure that drivers are using correct CK acct number",None,18: Terminal Issue,
,,UNL,801,15:00.0,15:00.0,csr,"csr clld in out of reg 801 gallons, waiting for reply from joc on eta, email was sent by us at 8:30 pm night b/4 for an eta","carrier receives email inventories several times throughout day, site has ATG, site has 20,000g",2: Carrier Issues,
,,UNL,293,30:00.0,45:00.0,csr,"csr clld in out of reg/293 gallons, waiting for a reply on an eta TMW 799186, carrier was emailed night b/4 at 8:30 pm with low level by us","carrier receives email several times a day with inventory, site has ATG, site has 12,000g reg tank",2: Carrier Issues,
,,UNL,1133,30:00.0,00:00.0,email,ATG review sent by Patty night b/4 at 9 pm,"carrier receives email of inventories several times throughout day, site has ATG, site has 12,000g reg tank",2: Carrier Issues,
,,UNL,800,00:00.0,30:00.0,email,"carrier sent email and was answered site would get load tonight, carrier sent email everday for 5 days regarding holiday increases","carrier receives by email inventories several times throughout day, was sent email by oue team at 4pm letting carrier know site low, site has ATG",2: Carrier Issues,
,,UNL,757,00:00.0,00:00.0,email,"site has ATG, 12,000g reg tank, carrier receives email of sites inventories several times throughout day",NULL,2: Carrier Issues,
,,PNL,493,50:00.0,49:00.0,Customer Reported,"csr clld in out of pnl/493 gallons, clld Pope and talked w/Kevin eta unknown  at this time kevin w/call me back with eta",Diverted driver to keep 1869 wet. pushed delivery envelope. Driver is on the way now.  VALID TIME,2: Carrier Issues,
,,UNL,405,38:37.0,00:00.0,CSR,"CSR clld in out of reg/ 405 gallons, clld PTC and talked w/Jennifer eta approx 1 hr",Driver went to the wrong store.,2: Carrier Issues,
,,PNL,417,56:05.0,30:00.0,Email,Higher sales at site for last week due to special event. Carrier not stepping up deliveries to stay ahead of demand.,NULL,3: Unpredictable Sales,
,,UNL,434,19:00.0,17:00.0,Phone Call,"Driver went to Magellan at midnight which was down, and drove 150 miles for a backup, the site ran out at 8:30 PM and the driver did not arrive until 12:30 PM.",A.T.,2: Carrier Issues,
,,UNL,698,35:00.0,59:00.0,phone,ATG is not polling - we have to call site for readings,ATG down,1: Bad Sticks,
,,ULP,671,00:00.0,09:00.0,phone,NULL,NULL,2: Carrier Issues,
,,DSL,726,14:33.0,26:33.0,Phone,ETA 2.5 hours,AT,2: Carrier Issues,
,,UNL,302,01:00.0,30:00.0,phone,334/unl... eta 330 pm,Carrier error pending carrier response,2: Carrier Issues,
