site_id,region_id,carrier_id,shipper_id,phone,address,city,state,brand,supplier,loading_numbers,mm_dbm,manager_phone,notes,miles,co_de,active,email
2211037,3,56,16,727-345-0467,3801 66Th St N,Saint Petersburg,FL,Shell,NULL,Sold to:12317896 Ship to:10000761,Kathy Staats,NULL,stg.gas.station@gmail.com,26.7,D,Y,stg.gas.station@gmail.com
2211039,3,54,266,321-245-7141,6999 W Colonial Dr,Orlando,FL,Shell,SHELLBR,Sold to:12317916 Ship to:10000693,Kathy Staats,NULL,plum2356@bellsouth.net; (321) 663-0434,15,D,Y,plum2356@bellsouth.net
2211045,3,56,16,813-968-9228,3435 N Lakeview Dr,Tampa,FL,Shell,UNKNOWN,Sold to:12317896 Ship to:10008787,Kathy Staats,NULL,fiveflagss@yahoo.com,20,D,Y,fiveflagss@yahoo.com
2211048,3,56,16,727-796-7777,24086 Us Hwy 19 N,Clearwater,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008578,Kathy Staats,NULL,lpeffer@aol.com,27.6,D,Y,lpeffer@aol.com
2211050,3,56,16,813-289-9386,1002 N Westshore Blvd,Tampa,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008782,Kathy Staats,NULL,mansourbros@yahoo.com,9.6,D,Y,mansourbros@yahoo.com
2211051,3,56,16,727-327-1692,1800 34Th St S,Saint Petersburg,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008756,Kathy Staats,NULL,us_shell@yahoo.com,29.8,D,Y,us_shell@yahoo.com
2211054,3,56,16,352-351-2951,917 N Pine Ave,Ocala,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10048501,Brian Caldrone,NULL,"kemshaan@gmail.com, (352) 572-6730",105.4,D,Y,pdkpatel@gmail.com
2211059,3,56,16,863-965-7409,1795 Berkley Rd,Auburndale,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10010651,Kathy Staats,NULL,josethomas863@gmail.com; (813) 748-9143,57.2,D,Y,josethomas863@gmail.com
2211064,3,56,16,727-586-4484,1698 Clearwater Largo Rd,Largo,FL,Shell,NULL,Sold to:12317896 Ship to:10013931,Kathy Staats,NULL,kabgroup@yahoo.com; (727) 729-0313,28.2,D,Y,kabgroup@yahoo.com
2211066,18,134,90,303-936-5371,1233 Sheridan Blvd,Lakewood,CO,Shell,UNKNOWN,2211066,Bobby Tiemann,NULL,NULL,9.6,D,Y,str01066@circlek.com
2211067,18,159,369,NULL,3694 W Bowles,Littleton,CO,Shell,#N/A,0,0,NULL,NULL,0,NULL,N,NULL
2211070,3,56,16,813-882-8899,8749 W Waters Ave,Tampa,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10048411,Kathy Staats,NULL,samwatershell@gmail.com,17.5,D,Y,samwatershell@gmail.com
2211072,3,56,266,CLOSED,17700 Us Hwy 441,Mount Dora,FL,Shell,#N/A,Sold to:12317896 Ship to:10048422,Kathy Staats,NULL,CLOSED,0,NULL,N,dharmesh6@hotmail.com
2211073,3,56,16,813-241-0534,5100 E Adamo Dr,Tampa,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10008784,Kathy Staats,NULL,deltaoilgroup@gmail.com  813-928-9479 Allison Chaudhry,12.4,D,Y,deltaoilgroup@gmail.com
2211074,3,56,16,863-687-2579,4275 New Tampa Hwy,Lakeland,FL,Shell,SHELLBR,Sold to:12317896 Ship to:10048551,Kathy Staats,NULL,panpatel2000@yahoo.com,39.1,D,Y,panpatel2000@yahoo.com
2211076,18,159,90,NULL,5021 S Jellison Wy,Littleton,CO,Shell,#N/A,2211076,0,NULL,subedi2013@gmail.com; (303) 885-8817,0,NULL,N,subedi2013@gmail.com
2211077,18,8,20,505-255-2841,1200 SAN PEDRO SE,Albuquerque,NM,PHILLIPS66,#N/A,No Longer Supplying,Bobby Tiemann,NULL,subedi2013@gmail.com,9.6,D,N,subedi2013@gmail.com
2211092,15,133,24,805-498-1618,855 N Wendy Dr,Thousand Oaks,CA,Mobil,EXMOBIL,1086021 - 2228746,Sam Silva,NULL,mansourjon@aol.com; (805) 252-7600,49.8,D,Y,mansourjon@aol.com
2211093,15,11,11,858-755-3579,705 Lomas Santa Fe Dr,Solana Beach,CA,Mobil,EXMOBIL,518-4000218-5211093,Steve Jennison,NULL,eagle1105@pacbell.net; (619) 701-2559,19.9,D,Y,eagle1105@pacbell.net
2211094,15,160,24,714-893-2842,15001 Goldenwest St,Huntington Beach,CA,Mobil,EXMOBIL,1086021 - 2228746,Steve Jennison,NULL,bobzand@cox.net; (949) 874-5192,27,D,Y,bobzand@cox.net
2211095,15,133,24,818-344-2444,18468 Burbank Blvd,Tarzana,CA,Mobil,EXMOBIL,2211095,Sam Silva,NULL,yaskel26@aol.com; (310) 951-8460,25,D,Y,yaskel26@aol.com
2211096,15,133,24,805-482-7016,4735 Pleasant Valley Rd,Camarillo,CA,Mobil,EXMOBIL,82211096,Sam Silva,NULL,sgrewal2611@hotmail.com; (805) 551-1783,57.8,D,Y,sgrewal2611@hotmail.com
2211097,15,133,24,818-892-4797,9100 Sepulveda Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211097,Sam Silva,NULL,dawud.nick@gmail.com,17.2,D,Y,dawud.nick@gmail.com
2211098,15,133,24,323-662-8654,657 N Vermont Ave,Los Angeles,CA,Mobil,EXMOBIL,82211098,Mark McMenomy,NULL,falskaf@yahoo.com; (818) 326-6188,8.2,D,Y,falskaf@yahoo.com
2211099,15,81,24,805-687-0909,2299 Las Positas Rd,Santa Barbara,CA,Mobil,EXMOBIL,2211099,Sam Silva,NULL,alex.jahangir@gmail.com,101.6,D,Y,alex.jahangir@gmail.com
2211100,15,133,24,310-417-8382,5215 W Centinela Ave,Los Angeles,CA,Mobil,EXMOBIL,82211100,Gaila Williams,NULL,youngsmobil@hotmail.com,10.8,D,Y,youngsmobil@hotmail.com
2211101,15,133,24,323-233-0777,315 W Vernon Ave,Los Angeles,CA,Mobil,EXMOBIL,82211101,Gaila Williams,NULL,khayat.mohammad@gmail.com,3.6,D,Y,khayat.mohammad@gmail.com
2211102,15,133,24,323-465-3800,5700 Hollywood Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211102,Gaila Williams,NULL,harrysusan@sbcglobal.net,10.2,D,Y,harrysusan@sbcglobal.net
2211103,15,133,11,714-635-2250,2500 E Lincoln Ave,Anaheim,CA,Mobil,MOBIL,1086021 - 2228746,David Rikitu,NULL,amansattar@aol.com,2.5,D,Y,amansattar@aol.com
2211104,15,133,24,714-891-2345,12422 Valley View St,Garden Grove,CA,Mobil,EXMOBIL,82211104,Steve Jennison,NULL,calfuel@cox.net,22.3,D,Y,calfuel@cox.net
2211106,15,133,24,805-482-1112,501 N Las Posas Rd,Camarillo,CA,Mobil,EXMOBIL,82211106,Sam Silva,NULL,lasvirgenesmobilinc@yahoo.com,57.7,D,Y,lasvirgenesmobilinc@yahoo.com
2211107,15,133,11,714-527-7753,8510 Knott Ave,Buena Park,CA,Mobil,EXMOBIL,2310362,Ron Perkins,NULL,amarhetal@aol.com,10.3,D,Y,amarhetal@aol.com
2211108,15,133,24,562-402-5197,11160 Del Amo Blvd,Lakewood,CA,Mobil,EXMOBIL,1086021 - 2228746,David Rikitu,NULL,aboubes@aol.com,16.3,D,Y,aboubes@aol.com
2211109,15,133,24,323-933-3804,3950 W Olympic Blvd,Los Angeles,CA,Mobil,EXMOBIL,1086021 - 2228746,Gaila Williams,NULL,olympicmobilmart@aol.com,7.9,D,Y,olympicmobilmart@aol.com
2211110,15,133,24,323-268-5404,301 S Atlantic Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211110,Gaila Williams,NULL,arnoldmooradian@sbcglobal.net,6,D,Y,arnoldmooradian@sbcglobal.net
2211111,15,133,11,714-738-1418,506 N State College Blvd,Fullerton,CA,Mobil,EXMOBIL,2315885,Steve Jennison,NULL,majid@fullertonmobil.com,5.4,D,Y,majid@fullertonmobil.com
2211112,15,133,11,909-626-8220,1605 E Holt Ave,Pomona,CA,Mobil,EXMOBIL,1086021 - 2228746,Ron Perkins,NULL,jaylee1605@gmail.com,22.3,D,Y,jaylee1605@gmail.com
2211113,15,133,24,323-307-2124,1166 S Soto St,Los Angeles,CA,Mobil,EXMOBIL,2201113,David Rikitu,NULL,emobil4234@hotmail.com,1.5,D,Y,emobil4234@hotmail.com
2211114,15,133,24,310-376-2146,2714 Artesia Blvd,Redondo Beach,CA,Mobil,EXMOBIL,82211114,David Rikitu,NULL,shahimi@hotmail.com,17.2,D,Y,shahimi@hotmail.com
2211115,15,133,24,310-375-0555,4202 Pacific Coast Hwy,Torrance,CA,Mobil,EXMOBIL,82211115,David Rikitu,NULL,shoji.taka.ken@gmail.com,21.8,D,Y,shoji.taka.ken@gmail.com
2211116,15,133,24,909-861-5713,350 S Diamond Bar Blvd,Diamond Bar,CA,Mobil,EXMOBIL,82211116,Ron Perkins,NULL,sippelbill@gmail.com,27.1,D,Y,sippelbill@gmail.com
2211118,15,133,24,310-327-2763,1403 W Redondo Beach Blvd,Gardena,CA,Mobil,EXMOBIL,1086021 - 2228746,Gaila Williams,NULL,nedenik26@gmail.com,12.4,D,Y,nedenik26@gmail.com
2211119,15,133,24,714-964-2889,9001 Adams Ave,Huntington Beach,CA,Mobil,EXMOBIL,82211119,Steve Jennison,NULL,info.hbfuel@gmail.com,34.2,D,Y,info.hbfuel@gmail.com
2211120,15,133,24,310-323-4245,1645 W 190Th St,Los Angeles,CA,Mobil,EXMOBIL,82211120,David Rikitu,NULL,hasemnan@gmail.com,15.2,D,Y,hasemnan@gmail.com
2211121,15,133,24,626-339-9707,1030 S Hacienda Blvd,Hacienda Heights,CA,Mobil,EXMOBIL,2211121,Ron Perkins,NULL,Previously 2709492   dheerajsulakhe@sbcglobal.net,17.6,D,Y,dheerajsulakhe@sbcglobal.net
2211122,15,11,11,858-536-8862,9790 Miramar Rd,San Diego,CA,Mobil,EXMOBIL,518-4000218-5211122,Steve Jennison,NULL,samzavaro@yahoo.com,8.2,D,Y,samzavaro@yahoo.com
2211123,15,133,11,714-838-4268,13872 Red Hill Ave,Tustin,CA,ExMobil,EXMOBIL,1086021 - 2228746,Steve Jennison,NULL,moeghaneian@gmail.com,8.2,D,Y,moeghaneian@gmail.com
2211124,15,133,24,805-499-5254,445 N Ventu Park Rd,NEWBURY PARK,CA,Mobil,EXMOBIL,82211124,Sam Silva,NULL,sgrewal2611@hotmail.com,48.1,D,Y,sgrewal2611@hotmail.com
2211125,15,11,11,619-543-0633,1809 W Washington St,San Diego,CA,Mobil,EXMOBIL,518-4000218-5211125,Steve Jennison,NULL,wwnewkirk@yahoo.com,7,D,Y,wwnewkirk@yahoo.com
2211126,15,133,24,805-497-7007,950 S Westlake Blvd,Westlake Village,CA,Mobil,EXMOBIL,1086021 - 2228746,Sam Silva,NULL,thevillage942@aol.com,42.8,D,Y,thevillage942@aol.com
2211127,15,133,24,805-529-2169,2340 N Kuehner Dr,Simi Valley,CA,Mobil,EXMOBIL,1086021 - 2228746,Sam Silva,NULL,yrenter@yahoo.com,38.2,D,Y,yrenter@yahoo.com
2211128,15,133,24,626-335-3831,530 W Rte 66,Glendora,CA,Mobil,EXMOBIL,82211128,Ron Perkins,NULL,norwoodauto@live.com,27.1,D,Y,norwoodauto@live.com
2211129,15,133,24,818-367-4231,15948 Roxford St,Los Angeles,CA,Mobil,EXMOBIL,1086021 - 2228746,Sam Silva,NULL,hydds@aol.com,6.4,D,Y,hydds@aol.com
2211130,15,133,24,323-937-3282,5776 Washington Blvd,Culver City,CA,Mobil,EXMOBIL,1086021 - 2228746,Sam Silva,NULL,lorena-sanchez@att.net,9.8,D,Y,lorena-sanchez@att.net
2211131,15,133,11,714-636-6132,13031 Magnolia St,Garden Grove,CA,Mobil,SHELLBR,1086021 - 2228746,Steve Jennison,NULL,gshigemura1@msn.com,9.2,D,Y,gshigemura1@msn.com
2211132,15,133,11,951-687-2249,3399 Adams St,Riverside,CA,Mobil,EXMOBIL,3211132,Ron Perkins,NULL,mklebon@hotmail.com,53.2,D,Y,mklebon@hotmail.com
2211133,15,133,24,810-994-1325,15303 Sherman Way,Los Angeles,CA,Mobil,EXMOBIL,82211133,Gaila Williams,NULL,guschahayed@msn.com,22.2,D,Y,guschahayed@msn.com
2211134,15,133,24,562-430-4789,8090 E Wardlow Rd,Long Beach,CA,Mobil,EXMOBIL,1086021 - 2228746,David Rikitu,NULL,johnsmobil1@gmail.com,19.1,D,Y,johnsmobil1@gmail.com
2211135,15,133,24,805-968-6864,49 Glen Annie Rd,Goleta,CA,Mobil,EXMOBIL,82211135,Sam Silva,NULL,vay.chao@gmail.com,110,D,Y,vay.chao@gmail.com
2211136,15,11,11,760-438-2141,899 Palomar Airport Rd,Carlsbad,CA,Mobil,EXMOBIL,518-4000218-5211136,Steve Jennison,NULL,mobilstation@gmail.com,29.2,D,Y,mobilstation@gmail.com
2211137,15,133,24,818-830-5303,9115 Woodman Ave,Los Angeles,CA,Mobil,EXMOBIL,1086021 - 2228746,Gaila Williams,NULL,bengoliinc@yahoo.com,23.6,D,Y,bengoliinc@yahoo.com
2211138,15,133,24,310-275-9628,9448 W Pico Blvd,Los Angeles,CA,Mobil,EXMOBIL,2201138,Mark McMenomy,NULL,ben.kohanteb@yahoo.com,12.5,D,Y,ben.kohanteb@yahoo.com
2211139,15,133,24,323-467-9781,210 N Sierra Madre Blvd,Pasadena,CA,Mobil,EXMOBIL,82211139,Mark McMenomy,NULL,yonghchong@att.net,14.9,D,Y,hollywood.office@yahoo.com
2211141,15,133,24,818-341-0311,9906 Topanga Canyon Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211141,Sam Silva,NULL,ninalutfy@yahoo.com,35.7,D,Y,ninalutfy@yahoo.com
2211142,15,133,24,213-745-6100,1690 S Alameda St,Los Angeles,CA,Mobil,EXMOBIL,82211142,Gaila Williams,NULL,howard1690@sbcglobal.net,1.8,D,Y,howard1690@sbcglobal.net
2211143,15,133,24,626-440-9761,1813 E Colorado Blvd,Pasadena,CA,Mobil,EXMOBIL,82211143,Gaila Williams,NULL,NULL,18.5,D,Y,NULL
2211144,15,11,11,858-279-9343,8380 Clairemont Mesa Blvd,San Diego,CA,Mobil,EXMOBIL,518-4000218-5211144,Steve Jennison,NULL,fastpumperoilcorp@yahoo.com,5.6,D,Y,fastpumperoilcorp@yahoo.com
2211145,15,133,24,310-641-7317,7601 S Sepulveda Blvd,Los Angeles,CA,Mobil,EXMOBIL,1086021 - 2228746,Gaila Williams,NULL,naderghiam@yahoo.com,14.2,D,Y,naderghiam@yahoo.com
2211146,15,133,24,323-735-0418,1925 Crenshaw Blvd,Los Angeles,CA,Mobil,UNKNOWN,1086021 - 2228746,Mark McMenomy,NULL,mattkohan1@aol.com,8,D,Y,mattkohan1@aol.com
2211148,15,133,11,949-494-3015,104 N Coast Hwy,Laguna Beach,CA,Mobil,EXMOBIL,2309578,Steve Jennison,NULL,lagunamobil@yahoo.com,47.1,D,Y,lagunamobil@yahoo.com
2211149,15,133,24,310-327-0089,15312 S Vermont Ave,Gardena,CA,Mobil,EXMOBIL,1086021 - 2228746,Gaila Williams,NULL,mintmobil@yahoo.com,12.8,D,Y,mintmobil@yahoo.com
2211150,15,133,24,562-598-6911,3971 Cerritos Ave,Los Alamitos,CA,Mobil,EXMOBIL,1086021 - 2228746,David Rikitu,NULL,adnanbsat@aol.com,19.9,D,Y,adnanbsat@aol.com
2211151,15,133,24,562-422-9128,6685 Atlantic Ave,Long Beach,CA,Mobil,EXMOBIL,2211151,David Rikitu,NULL,chungsmobil@gmail.com,12.4,D,Y,chungsmobil@gmail.com
2211152,15,133,24,310-477-5424,1660 S Sepulveda Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211152,Gaila Williams,NULL,cornermobil@gmail.com,15.1,D,Y,cornermobil@gmail.com
2211154,15,133,24,626-433-5553,1221 Peck Rd,South El Monte,CA,Mobil,EXMOBIL,82211154,Mark McMenomy,NULL,sdnaiem@gmail.com Manager #626-539-0059,12.3,D,Y,peckdurfeemobil@gmail.com
2211155,15,133,24,310-639-3050,2001 W Alondra Blvd,Compton,CA,Mobil,EXMOBIL,2211155,Gaila Williams,NULL,amber1060@yahoo.com,10.5,D,Y,amber1060@yahoo.com
2211156,15,133,11,714-549-0544,100 W Macarthur Blvd,Santa Ana,CA,Mobil,EXMOBIL,2315863,Steve Jennison,NULL,macarthurmobil@gmail.com,34.2,D,Y,macarthurmobil@gmail.com
2211158,15,133,24,323-231-2954,254 W Slauson Ave,Los Angeles,CA,Mobil,EXMOBIL,82211158,Mark McMenomy,NULL,sahn16@socal.rr.com,4.5,D,Y,sahn16@socal.rr.com
2211160,15,133,24,714-530-1281,11962 Brookhurst St,Garden Grove,CA,Mobil,EXMOBIL,7315401,Steve Jennison,NULL,abdulmrashid@sbcglobal.net,23.9,D,Y,abdulmrashid@sbcglobal.net
2211161,15,133,24,909-620-9001,550 N Garey Ave,Pomona,CA,Mobil,EXMOBIL,82211161,David Rikitu,NULL,circlek@gsg.email,30.9,D,Y,circlek@gsg.email
2211162,15,133,24,818-701-6830,19655 Parthenia St,Northridge,CA,Mobil,EXMOBIL,82211162,Sam Silva,NULL,mkayat@sbcglobal.net,30.9,D,Y,mkayat@sbcglobal.net
2211163,15,133,24,310-649-5211,8307 S La Cienega Blvd,Inglewood,CA,Mobil,EXMOBIL,2211163,Gaila Williams,NULL,nedenik@pacbell.net,11.7,D,Y,nedenik@pacbell.net
2211164,15,133,24,562-422-2086,5005 Long Beach Blvd,Long Beach,CA,Mobil,EXMOBIL,1086021 - 2228746,David Rikitu,NULL,circlek@gsg.email,14.3,D,Y,circlek@gsg.email
2211165,15,133,11,714-870-7494,2601 Yorba Linda Blvd,Fullerton,CA,Mobil,EXMOBIL,3318053,David Rikitu,NULL,cps1972@att.net,27.8,D,Y,cps1972@att.net
2211166,15,133,24,310-374-6007,931 Pacific Coast Hwy,Hermosa Beach,CA,Mobil,EXMOBIL,82211166,David Rikitu,NULL,ringring10@ca.rr.com,19.4,D,Y,ringring10@ca.rr.com
2211167,15,133,24,818-980-1366,4801 Laurel Canyon Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211167,Gaila Williams,NULL,nadersmobil@gmail.com,16.3,D,Y,nadersmobil@gmail.com
2211168,15,133,24,626-703-4933,5676 N Rosemead Blvd,Temple City,CA,Mobil,EXMOBIL,2211168,Ron Perkins,NULL,nahasz@verizon.net,14.1,D,Y,nahasz@verizon.net
2211169,15,133,11,909-988-1110,2315 S Euclid Ave,Ontario,CA,Mobil,EXMOBIL,1086021 - 2228746,Ron Perkins,NULL,circlek@gsg.email,36.2,D,Y,circlek@gsg.email
2211170,15,133,24,562-929-3885,11009 Rosecrans Ave,Norwalk,CA,Mobil,EXMOBIL,1086021 - 2228746,Mark McMenomy,NULL,anghiam@yahoo.com,12.7,D,Y,anghiam@yahoo.com
2211171,15,133,24,626-288-6931,8960 Valley Blvd,Rosemead,CA,Mobil,EXMOBIL,1086021 - 2228746,Mark McMenomy,NULL,rosemeadvalley@gmail.com,12.7,D,Y,rosemeadvalley@gmail.com
2211172,15,133,24,661-252-5777,18501 Soledad Canyon Rd,Santa Clarita,CA,Mobil,EXMOBIL,82211172,Sam Silva,NULL,mazdam3s@gmail.com,37.9,D,Y,mazdam3s@gmail.com
2211173,15,133,24,818-781-7157,5560 Van Nuys Blvd,Los Angeles,CA,Mobil,EXMOBIL,2211173,Mark McMenomy,NULL,krismobil1@hotmail.com,7.2,D,Y,krismobil1@hotmail.com
2211174,15,11,11,858-450-9474,3861 Governor Dr,San Diego,CA,Mobil,EXMOBIL,518-4000218-5211174,Steve Jennison,NULL,fastpumperoilcorp@yahoo.com,10,D,Y,fastpumperoilcorp@yahoo.com
2211175,15,133,24,310-371-4303,20306 Anza Ave,Torrance,CA,Mobil,EXMOBIL,1086021 - 2228746,David Rikitu,NULL,anzamobil@gmail.com,19.1,D,Y,anzamobil@gmail.com
2211177,15,133,24,661-273-3122,110 E Palmdale Blvd,Palmdale,CA,Mobil,EXMOBIL,82211177,Mark McMenomy,NULL,harrysmobil@yahoo.com,65.6,D,Y,harrysmobil@yahoo.com
2211178,15,133,24,323-344-1009,2207 Colorado Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211178,Mark McMenomy,NULL,dccc2207@gmail.com,11.3,D,Y,dccc2207@gmail.com
2211179,15,133,24,818-765-8571,12500 Sherman Way,North Hollywood,CA,Mobil,EXMOBIL,82211179,Gaila Williams,NULL,sherchevron@aol.com,19.4,D,Y,sherchevron@aol.com
2211180,15,133,24,818-244-2990,1324 S Central Ave,Glendale,CA,Mobil,EXMOBIL,82211180,Mark McMenomy,NULL,robertsautom@aol.com,10,D,Y,robertsautom@aol.com
2211181,15,133,24,323-737-7738,3309 W Olympic Blvd,Los Angeles,CA,Mobil,EXMOBIL,32211181,Gaila Williams,NULL,westernoil@yahoo.com,7.3,D,Y,westernoil@yahoo.com
2211182,15,133,24,310-410-0490,6100 Sepulveda Blvd,Culver City,CA,Mobil,EXMOBIL,none ,Gaila Williams,NULL,sunlandmobil@yahoo.com,14,D,Y,sunlandmobil@yahoo.com
2211183,15,133,24,818-246-0394,1297 N Verdugo Rd,Glendale,CA,Mobil,EXMOBIL,2315375,Mark McMenomy,NULL,rogersmobil@aol.com,13.7,D,Y,rogersmobil@aol.com
2211184,15,133,24,310-781-1017,20802 S Vermont Ave,Torrance,CA,Mobil,EXMOBIL,none ,David Rikitu,NULL,alokchanani@gmail.com,15.2,D,Y,alokchanani@gmail.com
2211185,15,133,24,805-527-3410,5195 E Cochran St,Simi Valley,CA,Mobil,EXMOBIL,82211185,Sam Silva,NULL,elhilu@sbcglobal.net,40,D,Y,elhilu@sbcglobal.net
2211186,15,133,24,562-862-4076,9002 Imperial Hwy,Downey,CA,Mobil,EXMOBIL,82211186,Mark McMenomy,NULL,jimjameel@aol.com,11.9,D,Y,jimjameel@aol.com
2211187,15,133,11,714-962-3289,17025 Brookhurst St,Fountain Valley,CA,Mobil,NULL,2311508,Ron Perkins,NULL,fawad825@yahoo.com,0,NULL,N,fawad825@yahoo.com
2211188,15,133,24,310-320-5920,3328 W Carson St,Torrance,CA,Mobil,EXMOBIL,2312913,David Rikitu,NULL,circlek@gsg.email,18.9,D,Y,circlek@gsg.email
2211189,15,133,24,310-451-2355,731 Santa Monica Blvd,Santa Monica,CA,Mobil,EXMOBIL,82211189,Mark McMenomy,NULL,amsrags@sbcglobal.net,17.4,D,Y,amsrags@sbcglobal.net
2211190,15,133,24,626-358-8914,2249 Huntington Dr,Duarte,CA,Mobil,EXMOBIL,2311405,Ron Perkins,NULL,duarteuniversal@yahoo.com,21.7,D,Y,duarteuniversal@yahoo.com
2211191,15,133,24,310-475-2000,10857 Santa Monica Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211191,Gaila Williams,NULL,charles@pbdwest.com,16,D,Y,charles@pbdwest.com
2211193,15,133,24,323-583-5716,3074 E Gage Ave,Huntington Park,CA,Mobil,EXMOBIL,2314458,David Rikitu,NULL,nabil_kheir@yahoo.com,3.1,D,Y,nabil_kheir@yahoo.com
2211194,15,133,24,323-758-6233,1803 W Manchester Ave,Los Angeles,CA,Mobil,EXMOBIL,82211194,Mark McMenomy,NULL,kimmobil@gmail.com,8.3,D,Y,kimmobil@gmail.com
2211195,15,133,24,310-475-9000,10863 W Olympic Blvd,Los Angeles,CA,Mobil,EXMOBIL,82211195,Gaila Williams,NULL,iranginc@yahoo.com,14.1,D,Y,iranginc@yahoo.com
